"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2018","2018",2.86,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2019","2019",3.988,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2005","2005",15.115,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2006","2006",11.655,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2007","2007",6.448,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2008","2008",0.894,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2009","2009",-6.152,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2010","2010",4.772,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2011","2011",5.806,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2012","2012",-0.52,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2013","2013",-1.926,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2014","2014",-1.576,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2015","2015",-1.502,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2016","2016",1.05,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2017","2017",3.093,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2018","2018",2.952,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2019","2019",3.311,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2005","2005",83.346,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2006","2006",83.021,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2007","2007",81.245,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2008","2008",82.346,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2009","2009",83.021,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2010","2010",83.871,,
"1","Country","DEU","Germany","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2011","2011",86.797,,
