"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.73405,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.7375333,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.63,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.94,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2007","2007","PC","Percentage","0","Units",,,2,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2008","2008","PC","Percentage","0","Units",,,0.01,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.05,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.04,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.07,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2012","2012","PC","Percentage","0","Units",,,-0.2,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.01,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2014","2014","PC","Percentage","0","Units",,,-2,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.9,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2017","2017","PC","Percentage","0","Units",,,-1,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.95,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CHE","Switzerland","A","Annual","2019","2019","PC","Percentage","0","Units",,,-1,,
